date,tufe yillik degisim orani,tufe aylik degisim orani
2019-12,11.84,0.74
2019-11,10.56,0.38
2019-10,8.55,2
2019-09,9.26,0.99
2019-08,15.01,0.86
2019-07,16.65,1.36
2019-06,15.72,0.03
2019-05,18.71,0.95
2019-04,19.5,1.69
2019-03,19.71,1.03
2019-02,19.67,0.16
2019-01,20.35,1.06
2018-12,20.3,-0.4
2018-11,21.62,-1.44
2018-10,25.24,2.67
2018-09,24.52,6.3
2018-08,17.9,2.3
2018-07,15.85,0.55
2018-06,15.39,2.61
2018-05,12.15,1.62
2018-04,10.85,1.87
2018-03,10.23,0.99
2018-02,10.26,0.73
2018-01,10.35,1.02
2017-12,11.92,0.69
2017-11,12.98,1.49
2017-10,11.9,2.08
2017-09,11.2,0.65
2017-08,10.68,0.52
2017-07,9.79,0.15
2017-06,10.9,-0.27
2017-05,11.72,0.45
2017-04,11.87,1.31
2017-03,11.29,1.02
2017-02,10.13,0.81
2017-01,9.22,2.46
2016-12,8.53,1.64
2016-11,7,0.52
2016-10,7.16,1.44
2016-09,7.28,0.18
2016-08,8.05,-0.29
2016-07,8.79,1.16
2016-06,7.64,0.47
2016-05,6.58,0.58
2016-04,6.57,0.78
2016-03,7.46,-0.04
2016-02,8.78,-0.02
2016-01,9.58,1.82
2015-12,8.81,0.21
2015-11,8.1,0.67
2015-10,7.58,1.55
2015-09,7.95,0.89
2015-08,7.14,0.4
2015-07,6.81,0.09
2015-06,7.2,-0.51
2015-05,8.09,0.56
2015-04,7.91,1.63
2015-03,7.61,1.19
2015-02,7.55,0.71
2015-01,7.24,1.1
2014-12,8.17,-0.44
2014-11,9.15,0.18
2014-10,8.96,1.9
2014-09,8.86,0.14
2014-08,9.54,0.09
2014-07,9.32,0.45
2014-06,9.16,0.31
2014-05,9.66,0.4
2014-04,9.38,1.34
2014-03,8.39,1.13
2014-02,7.89,0.43
2014-01,7.75,1.98
,,
